SE_ID,chr,start,end,eRNA_count,mean_BRCA,mean_LUAD,mean_SKCM,F_statistic,p_value,p_adj_BH
chr15:41146987-41147899,chr15,41146987,41147899,4,0.454881962148997,0.622957280719694,-1.08505959147423,787.725956346275,9.26686444157382e-128,1.04749709269306e-124
chr12:6454099-6455909,chr12,6454099,6455909,8,-0.0448306316820097,0.863134670909962,-0.817592441899664,769.930451709847,3.05604356177508e-115,2.4309128731942e-112
chr1:51797118-51800325,chr1,51797118,51800325,8,0.882231740965964,-0.0113497963325436,-0.884885623061452,735.435385864318,1.96252165552971e-112,1.45341646882109e-109
chr6:34507439-34508661,chr6,34507439,34508661,4,0.936772249568449,0.00306361047963941,-0.954705260834884,713.826414114167,8.95309340046264e-109,5.49387391319246e-106
chr2:47607208-47609335,chr2,47607208,47609335,10,0.119414625747604,0.673881026202189,-0.795191122199752,691.532085110609,7.27591549331603e-106,4.00679069358842e-103
chr15:41150505-41164312,chr15,41150505,41164312,20,0.401990953448981,0.380969092533439,-0.789340854767325,682.987852011333,8.7943793108819e-117,7.55507537839242e-114
chr12:6459290-6462783,chr12,6459290,6462783,16,0.0233154486767172,0.849084263349182,-0.872769798512833,676.041846979372,6.15538700101001e-105,3.3049811655173e-102
chr1:43739773-43747454,chr1,43739773,43747454,10,0.413440387987344,0.384912245143916,-0.804915178972328,655.034645147743,5.67524271158561e-106,3.20755757149274e-103
chr14:38065364-38069017,chr14,38065364,38069017,4,0.615063550463235,0.32153193010132,-0.94635839406397,589.962214787703,4.61005309531131e-99,1.94137471231375e-96
chr2:85891070-85892312,chr2,85891070,85892312,4,-0.631452133737426,1.26426669610617,-0.622791512626876,578.372991773076,1.39848765941818e-100,6.39049350240943e-98
chr12:52632659-52635156,chr12,52632659,52635156,10,0.191549104618109,0.703520153472561,-0.898109720068738,577.944065969652,1.90826938670222e-96,6.71867239642682e-94
chr11:34673452-34678355,chr11,34673452,34678355,18,0.475434281114478,0.443410194403579,-0.926391051408762,575.378656360861,3.8738060685669e-98,1.51268605335657e-95
chr2:95957156-95962952,chr2,95957156,95962952,10,0.542693485824735,0.217934559222937,-0.769242227362352,574.462636937187,2.29929983958282e-102,1.0973791701049e-99
chr6:42062097-42068756,chr6,42062097,42068756,25,0.7462331566633,0.124686715788521,-0.882764843192508,569.48318511809,3.47712443482267e-110,2.26297580262686e-107
chr17:73542504-73552027,chr17,73542504,73552027,21,0.297645354478384,0.358312376323784,-0.660682260238334,569.133316294001,6.30990059642376e-99,2.60611029056525e-96
chr15:41134845-41136116,chr15,41134845,41136116,4,0.563904013774646,0.315928922822455,-0.888783793958603,568.796983493872,3.04819387403799e-109,1.925472348021e-106
chr10:5500526-5540558,chr10,5500526,5540558,40,0.669392199132393,0.029014734689339,-0.709032206823833,565.500974830763,5.41065454076292e-97,1.96956995884687e-94
chr10:95149011-95152574,chr10,95149011,95152574,19,0.557505657680919,0.352797605425809,-0.91915255926039,563.739109146641,5.17232410207547e-98,1.98367865607634e-95
chr2:47602538-47604053,chr2,47602538,47604053,7,0.169663052725635,0.637908926553434,-0.810265043608046,554.987851302924,4.22903131515217e-101,1.9744979468592e-98
chr6:136665476-136666894,chr6,136665476,136666894,5,0.708525128254507,0.222878835473197,-0.942650394334921,553.269834399396,1.2229970109749e-110,8.20822087647125e-108
chr1:16535678-16538897,chr1,16535678,16538897,11,0.506361271952477,0.359604891301272,-0.874003643760931,544.959008240655,3.27845922662869e-99,1.40822937620609e-96
chr9:112004189-112005798,chr9,112004189,112005798,7,0.492639372616289,0.361248084143724,-0.861707129341227,541.767635131824,2.68935448867258e-103,1.31271059893684e-100
chr10:8111661-8115602,chr10,8111661,8115602,11,1.18775100095245,-0.575915766148562,-0.630688425295201,537.8373649928,1.3267554606962e-106,7.70127757550605e-104
chr17:39684660-39705758,chr17,39684660,39705758,19,0.787930425759207,-0.206449892641248,-0.593987365272868,536.821350774208,2.24611482833315e-95,7.42150894894017e-93
chr1:209966159-209968535,chr1,209966159,209968535,12,0.702476174155288,0.100769612451952,-0.814396202070022,532.001129436937,3.57296982296484e-98,1.42104949792252e-95
chr8:144818208-144821466,chr8,144818208,144821466,9,0.612507307323609,0.239309326685688,-0.861538972220784,529.082781268833,1.62025713678737e-104,8.48738110409327e-102
chr6:117594828-117609363,chr6,117594828,117609363,3,-0.576120671180038,1.22754271786503,-0.642277274126571,518.811136338596,6.04565197290463e-104,3.09148731957316e-101
chr22:38430335-38436211,chr22,38430335,38436211,10,-0.436646894381936,-0.660343628955977,1.10392142642334,512.413595473252,4.14532087580087e-94,1.25393037252923e-91
chr6:136657325-136663775,chr6,136657325,136663775,31,0.665067079429595,0.260338401939152,-0.935962101677152,510.530011891887,2.31055381512484e-107,1.37843789687323e-104
chr11:394624-396051,chr11,394624,396051,7,0.449427237218596,0.401477956107207,-0.858038958995936,508.098928014329,1.88855022267599e-94,5.96476369594297e-92
chr11:34678617-34679980,chr11,34678617,34679980,6,0.419501211755075,0.495316344673873,-0.921476305821889,507.532099116986,9.7590102641942e-94,2.9110314367236e-91
chr3:196711166-196713447,chr3,196711166,196713447,8,0.684975860853302,0.0704594831339671,-0.766307976699226,493.631420510499,2.12085465506453e-92,5.83969172138729e-90
chr12:16742614-16746971,chr12,16742614,16746971,18,-0.177020118667152,0.920413744188963,-0.740583782368365,489.09606821001,8.84131415834276e-97,3.16474840297879e-94
chr1:155102454-155103580,chr1,155102454,155103580,7,0.418632945648792,0.573746571037906,-0.999024484077947,485.71541562408,6.25890318925387e-104,3.12610380920013e-101
chr17:48721122-48733093,chr17,48721122,48733093,44,-0.187955245326211,0.891473699389709,-0.700535037471019,474.050290108447,2.62136406826834e-93,7.50653814589322e-91
chr17:37896534-37898405,chr17,37896534,37898405,7,0.488432077740206,0.381969142137544,-0.878154110000614,469.671049371174,1.0901292965504e-88,2.54485944587098e-86
chr10:106057542-106058786,chr10,106057542,106058786,5,0.758173224060197,0.120768634198695,-0.890976353878896,466.22067531715,4.07555933231657e-97,1.50915151345108e-94
chr12:16513477-16516629,chr12,16513477,16516629,13,0.213299944726715,0.689911557598093,-0.906597215733167,464.50866238365,1.60558072118868e-99,7.03735860183046e-97
chr14:100610673-100612656,chr14,100610673,100612656,13,0.897035176709752,-0.0510738374694049,-0.860199992838917,461.015443697173,1.03863152786534e-93,3.05571086629642e-91
chr9:112013891-112015621,chr9,112013891,112015621,7,0.465675895813527,0.312056448156638,-0.785124024856096,459.76011091947,4.46058819689879e-91,1.1827167000592e-88
chr18:55470433-55505608,chr18,55470433,55505608,23,0.403384002767967,0.173465572989702,-0.583252496436526,456.86723142038,6.23634816250456e-100,2.79037603096063e-97
chr22:38370305-38373774,chr22,38370305,38373774,7,-0.426641941086258,-0.604868652371865,1.03828268776108,456.786356435557,5.246155123037e-92,1.40839591971832e-89
chr13:111857820-111861513,chr13,111857820,111861513,18,0.576830768686505,0.166498832273795,-0.752485644907705,456.512865165947,2.61493043565593e-96,8.91442237564802e-94
chr1:160959721-160964901,chr1,160959721,160964901,25,0.504706283613711,0.323081765142703,-0.835799259607424,454.897592804198,2.49415120551178e-98,1.01069595171277e-95
chr8:144822218-144823168,chr8,144822218,144823168,5,0.542944200271865,0.352466465510547,-0.904028827691494,451.004920625852,1.00421742613747e-97,3.78378555458851e-95
chr12:13045076-13061077,chr12,13045076,13061077,52,0.123632410230604,0.599953028923561,-0.725547858364175,450.432149277858,8.95655143332879e-90,2.21103281762761e-87
chr9:559030-639310,chr9,559030,639310,37,0.142792434484362,0.371767749117313,-0.516826730180792,449.938386839344,2.31834453447655e-96,8.03082025273435e-94
chr5:68810036-68826340,chr5,68810036,68826340,26,-0.12852431100083,0.615405179913273,-0.48484080048386,441.181196675559,2.14142253053802e-94,6.66541038961811e-92
chr1:10700234-10702039,chr1,10700234,10702039,8,0.774330314358323,0.00270812275588611,-0.789329394484978,429.528482368172,3.26762205361893e-92,8.8833821323511e-90
chr17:72952151-72953964,chr17,72952151,72953964,8,0.559988480540835,0.210905702171362,-0.77978288875253,428.03934475354,5.2656790463909e-87,1.17803113415976e-84
chr6:34509058-34511697,chr6,34509058,34511697,5,0.903470446820138,-0.116949637436003,-0.800861610127314,427.451331841361,1.32900560238153e-83,2.50377660722352e-81
chr19:6751637-6752071,chr19,6751637,6752071,5,0.361533165535327,0.569028101092099,-0.936299888302593,425.954718858685,1.15639944228745e-95,3.8806235659387e-93
chr22:31479651-31480980,chr22,31479651,31480980,5,-0.342483452392082,-0.665940091754534,1.01385978942268,424.618038245685,4.98395264515045e-95,1.62182349939237e-92
chr6:138478801-138482958,chr6,138478801,138482958,11,0.759045869048736,-0.00801928955906334,-0.76307492661743,423.567436028901,2.88681682810089e-86,6.20001650171228e-84
chr2:43052-45340,chr2,43052,45340,10,0.669764293865742,0.147398783162531,-0.827794256295984,421.234873471047,7.40849174512658e-89,1.74848546384707e-86
chr2:20405285-20422864,chr2,20405285,20422864,54,0.337933522640768,0.437701141743754,-0.780998688553424,418.370891049131,7.0861401002168e-90,1.76963989456228e-87
chr2:10133472-10135334,chr2,10133472,10135334,6,0.73415550708981,0.0500521284534835,-0.795860897560594,417.086663879974,7.7361187761526e-91,2.02620271896865e-88
chr21:48014222-48018775,chr21,48014222,48018775,5,-0.547956217576391,-0.607280958680244,1.16393489399594,414.793458473493,6.95098021581159e-89,1.65873557883317e-86
chr12:16507758-16510345,chr12,16507758,16510345,8,0.190200745746337,0.661449994644601,-0.85466979984723,412.518193289545,1.16883825031972e-93,3.39231609488063e-91
chr17:79355840-79358646,chr17,79355840,79358646,5,-0.594465599845296,-0.549302616584277,1.15320417833188,411.497411904808,9.25806812139059e-93,2.6162569610935e-90
chr17:79354484-79355577,chr17,79354484,79355577,4,-0.61117836484346,-0.583103067098955,1.20398267582882,408.049231213321,3.5799601684254e-89,8.6389668019407e-87
chr12:48298923-48307429,chr12,48298923,48307429,10,0.630018821531097,0.290764453464202,-0.930783573749758,407.888139660882,1.61207083985494e-94,5.1675291682932e-92
chr1:233802836-233806917,chr1,233802836,233806917,12,0.20989085408068,0.485710892709894,-0.698933347648997,405.828635121297,2.81122408885988e-83,5.11666608105455e-81
chr20:43956155-43958906,chr20,43956155,43958906,10,0.149805161274098,0.678325554446479,-0.830508575423339,404.963004519001,2.22170916933345e-90,5.68043426544933e-88
chr15:52521610-52524719,chr15,52521610,52524719,14,0.551343186372316,0.218724967651356,-0.778819633172439,404.704101969478,4.34643066342855e-90,1.09821519245241e-87
chr10:95152812-95155799,chr10,95152812,95155799,18,0.426390870117656,0.354282607555177,-0.787441586722321,404.66256956172,9.07717471928537e-91,2.34880098127822e-88
chr4:74963588-74964148,chr4,74963588,74964148,4,-0.45603076027972,1.0726968139828,-0.609427470206579,404.033655222957,3.54362221393568e-94,1.08723391840995e-91
chr14:36983134-36985502,chr14,36983134,36985502,4,-0.576354073869833,1.16900668669937,-0.583504135466519,402.371547239452,4.31971445471613e-83,7.7961770877259e-81
chr16:2885046-2888277,chr16,2885046,2888277,5,0.971594358376246,-0.255597580755465,-0.731418910293421,401.093084028569,1.12977789867304e-82,1.97270243331714e-80
chr17:48762336-48764570,chr17,48762336,48764570,10,-0.279862936903869,0.974534595841753,-0.69022939009814,400.223440497364,4.98874215162161e-87,1.12782331779345e-84
chr17:39929278-39941099,chr17,39929278,39941099,43,0.333752291160639,0.3057674523726,-0.644817398948487,399.731831691306,1.25740713141448e-87,2.87290776184986e-85
chr4:77550236-77558676,chr4,77550236,77558676,22,0.465245510876439,0.238361511504157,-0.710991871759588,397.882757146974,7.95777425958823e-85,1.55371925248342e-82
chr17:48738575-48739413,chr17,48738575,48739413,4,-0.151005877140488,0.935664647723924,-0.782261851898667,397.538273903396,1.75307689549259e-88,4.04847661123594e-86
chr17:46030729-46034923,chr17,46030729,46034923,18,0.407250755574479,0.375723564551127,-0.789438617833137,397.20572771413,9.79628219759528e-84,1.86190046688278e-81
chr17:48734644-48735343,chr17,48734644,48735343,4,-0.171515096074982,0.968713140660435,-0.794475582742987,397.200282466246,1.90066272482437e-89,4.63869697057421e-87
chr19:7673250-7675262,chr19,7673250,7675262,9,0.526470664766645,0.180153179401061,-0.714980521386224,397.135815741331,6.07137224405702e-86,1.25379674697704e-83
chr4:152588567-152591343,chr4,152588567,152591343,13,0.633441301967835,0.401148606125855,-1.04464453193445,394.143539512812,1.51571318113275e-92,4.2276587001543e-90
chr5:34562075-34640959,chr5,34562075,34640959,11,0.147860131903732,0.420744581493799,-0.570951699618226,392.868670509283,9.61598544081094e-86,1.96688113630759e-83
chr12:6471507-6472509,chr12,6471507,6472509,4,0.0593122963596275,0.728695668036612,-0.788949429417819,388.411314448127,1.15514551355363e-78,1.59032437144816e-76
chr1:159907728-159912653,chr1,159907728,159912653,9,0.609248829337774,0.0990322141955573,-0.717951659872025,387.04378915934,2.56009210275778e-86,5.55384829201302e-84
chr2:47550734-47558099,chr2,47550734,47558099,21,0.0263921469779736,0.609348642835269,-0.636159712781147,384.264513652185,2.24523445815096e-86,4.92050004670492e-84
chr18:46539864-46549973,chr18,46539864,46549973,15,0.427224918877804,0.177451369330607,-0.611457636127105,383.05672214478,3.85752206310445e-79,5.5602685469325e-77
chr13:76383419-76390822,chr13,76383419,76390822,14,-0.303335553703135,0.889836030442772,-0.581685626680856,379.682354905546,5.14801383244436e-82,8.77491214915932e-80
chr4:106554322-106557460,chr4,106554322,106557460,11,0.394056648597503,0.335717352822823,-0.736028868858383,379.290576972513,5.17627757190587e-77,6.38913295470244e-75
chr20:48931559-48937512,chr20,48931559,48937512,23,0.12966761573447,0.562690102063325,-0.694415933920564,379.133068548786,6.9250166284981e-85,1.36448240486471e-82
chr5:68784638-68788019,chr5,68784638,68788019,4,0.161066976343305,0.544640863562605,-0.708264458578026,375.67735200285,1.20676628763548e-80,1.90571467349612e-78
chr14:69012441-69030167,chr14,69012441,69030167,7,0.88108694956236,-0.270310045194876,-0.624762411503395,369.999017797023,1.98776405446667e-83,3.64882124767356e-81
chr4:106850835-106853653,chr4,106850835,106853653,13,0.656419677468715,0.0788410267648787,-0.745680064193414,369.415004209076,8.24283556131891e-78,1.06006813982303e-75
chr19:7678149-7679420,chr19,7678149,7679420,4,0.508598160261875,0.326746125681305,-0.843417272614,364.688198824811,3.29024730157502e-86,6.99649913821056e-84
chr17:39919673-39920865,chr17,39919673,39920865,6,0.427215094063359,0.400855516676871,-0.834851802709491,363.194096451437,3.50896538843564e-86,7.38843623994434e-84
chr2:20404152-20405004,chr2,20404152,20405004,4,0.186608517197452,0.662778811080867,-0.85234936823384,362.520986041777,1.25345649537809e-85,2.53966841049389e-83
chr2:86064492-86066167,chr2,86064492,86066167,9,-0.838025195259746,0.260314290240824,0.591012892245268,360.176413978531,1.31814923343076e-84,2.55044063841373e-82
chr11:129727474-129728369,chr11,129727474,129728369,5,-0.0374910017378974,0.768674518737196,-0.730588421733619,359.445393386979,6.72875726361089e-78,8.75839513639825e-76
chr11:118111192-118120717,chr11,118111192,118120717,22,0.0303820871052856,0.563371451629185,-0.594235794085349,359.062421604431,1.32745018351671e-80,2.0809961745539e-78
chr21:37523108-37528415,chr21,37523108,37528415,17,0.395544145332515,0.233620144183603,-0.63544276801346,358.965973248471,2.99969041658167e-79,4.44305869496031e-77
chr1:164612166-164621033,chr1,164612166,164621033,5,0.963978150140743,-0.304123395673078,-0.67515599494609,358.80477829607,1.6357503803085e-83,3.05487051459874e-81
chr11:130064732-130066134,chr11,130064732,130066134,5,0.195653498772126,0.529897356363895,-0.728656466227643,357.249578520105,1.69627715137306e-81,2.84616752969056e-79
chr10:5497181-5497950,chr10,5497181,5497950,6,0.541660930066092,0.354241238754829,-0.904499961361649,355.277817854596,1.8405834555296e-86,4.07527947158857e-84
chr11:117979711-117982209,chr11,117979711,117982209,7,-0.402314114052571,1.0643002952544,-0.655600242883535,352.409949440005,4.72286523288432e-75,5.31062704746893e-73
chr10:24528366-24544157,chr10,24528366,24544157,34,0.55340186320459,0.141681113351333,-0.703867133114727,352.337761427631,5.66901474655327e-83,1.00622669183243e-80
chr2:47587016-47595967,chr2,47587016,47595967,16,0.308617303073155,0.155620143305733,-0.469136133729256,352.147036709848,5.67146214450325e-81,9.29816736469438e-79
chr1:209825911-209834609,chr1,209825911,209834609,5,-0.102520896601932,0.871485283750249,-0.76733707132924,350.684277613146,4.83790359824683e-85,9.62070884995807e-83
chr1:94071230-94079304,chr1,94071230,94079304,20,-0.134584993354687,0.777113239407178,-0.640391976316702,350.413900219782,2.12914846436973e-80,3.31360301226584e-78
chr12:16510733-16513134,chr12,16510733,16513134,10,0.238400356761828,0.55108096169914,-0.793265451107984,350.398940541081,8.53039515322933e-83,1.5016991533271e-80
chr1:155104210-155105879,chr1,155104210,155105879,11,0.326499848116218,0.637132093896904,-0.96881447928481,346.509187059704,5.5801006015245e-86,1.16353223901885e-83
chr12:121623976-121625259,chr12,121623976,121625259,5,-0.460482708527546,-0.598061279353154,1.0658532372224,346.061107892772,1.73877861554196e-85,3.49006993700885e-83
chr16:28625700-28631284,chr16,28625700,28631284,25,0.669435142988452,0.0270734304202141,-0.707134528059276,345.155709258304,2.2584911718851e-81,3.76012518593615e-79
chr17:37895335-37896120,chr17,37895335,37896120,4,0.450560645148985,0.336534996596654,-0.794247398017842,344.658856920141,1.59442613072445e-75,1.84104784997683e-73
chr1:164644153-164649222,chr1,164644153,164649222,4,0.807647760624862,-0.20714415394477,-0.6133234124043,340.321400287619,5.14891012337884e-83,9.21526189331727e-81
chr17:79688142-79708552,chr17,79688142,79708552,42,0.456298176853715,0.0586561963117274,-0.522197201369469,340.011582739856,3.83124065096879e-78,5.11077984228924e-76
chr19:48997466-49000550,chr19,48997466,49000550,21,0.45667356248665,0.35792843862976,-0.821850787822548,339.790236327911,4.26676837478336e-84,8.18190932010912e-82
chr12:52644525-52645461,chr12,52644525,52645461,4,0.195237627610344,0.566759137657424,-0.765095775229836,339.643996960646,2.54485435440145e-75,2.89184322589841e-73
chr1:94996252-94997777,chr1,94996252,94997777,8,-0.183745855923104,0.928875089436305,-0.742212632625534,339.112249817953,2.99857063441573e-80,4.60002153681047e-78
chr17:48739720-48740421,chr17,48739720,48740421,4,-0.184940350521771,0.937263868079327,-0.749387956438163,338.761801218776,1.0340289464281e-80,1.64502516166195e-78
chr10:106051502-106054643,chr10,106051502,106054643,7,0.709629780814583,0.0328870514007693,-0.753780796990187,335.57365254106,1.11835885320077e-79,1.67964986644705e-77
chr3:49023915-49026881,chr3,49023915,49026881,24,0.441378065640723,0.216722692476562,-0.6651067591592,334.018211138053,1.81374661925085e-83,3.35808932255608e-81
chr19:45349970-45368428,chr19,45349970,45368428,42,0.396417822978778,0.161724450325615,-0.564434619700883,333.16342171162,2.0147128926136e-82,3.489515225376e-80
chr1:201346990-201349866,chr1,201346990,201349866,5,0.224719751424709,0.532867302065442,-0.761154033671495,332.658681058395,6.25656182290606e-78,8.19342550430204e-76
chr12:16747368-16750450,chr12,16747368,16750450,6,-0.291240700408365,0.916551250794102,-0.620687682125285,332.29974311022,1.15614503018705e-77,1.469261941617e-75
chr20:43959304-43961563,chr20,43959304,43961563,8,0.147427098052365,0.601069972283303,-0.750837183003164,332.216978452455,5.80139520553899e-78,7.64396103247613e-76
chr20:43964660-43976865,chr20,43964660,43976865,39,0.202210802040143,0.467998645971093,-0.673419143281714,330.863337325004,9.11987232100564e-77,1.10037920133842e-74
chr4:40429702-40434568,chr4,40429702,40434568,21,0.331544471498935,0.24682854988578,-0.583635632043429,330.482355407482,1.1148391720512e-78,1.55476629208725e-76
chr19:6755426-6757241,chr19,6755426,6757241,13,0.168674237961354,0.49860519614143,-0.669956802959315,329.225665838342,1.19456365776766e-81,2.02012942345481e-79
chr5:169760983-169764064,chr5,169760983,169764064,7,-0.504039005850785,-0.51252306335395,1.02456268834522,329.116192862502,6.4858150116306e-81,1.05527158336962e-78
chr19:58908507-58911488,chr19,58908507,58911488,13,0.290951061512885,0.569552106572015,-0.865121438902563,328.641013361814,1.60068586028209e-78,2.17581836843535e-76
chr17:73555591-73558261,chr17,73555591,73558261,8,0.198412194396188,0.423059766558495,-0.624621360865735,328.631683623045,1.13596820615296e-78,1.57401220409981e-76
chr15:72462820-72465806,chr15,72462820,72465806,7,-0.0179565810213069,0.631798903771168,-0.613557297654284,328.485704672783,2.87938642135417e-80,4.44896274614558e-78
chr20:43961809-43964322,chr20,43961809,43964322,9,0.148295228286578,0.573644075691567,-0.724293196490627,327.38361189842,1.09267803114845e-78,1.53382000490034e-76
chr6:13288745-13290150,chr6,13288745,13290150,7,-0.635737185640367,-0.394693787854229,1.04052203993333,326.842814769105,2.14362115033807e-82,3.68308411566487e-80
chr11:120190753-120195738,chr11,120190753,120195738,7,0.457177872949602,0.159414186501207,-0.62384885108493,326.573169575099,3.60283078633083e-81,5.95215359984824e-79
chr11:7587098-7589997,chr11,7587098,7589997,6,0.580366898686375,0.115679062112454,-0.705258133793853,325.869039137917,6.44534183930565e-72,6.4384468224543e-70
chr3:196716118-196726231,chr3,196716118,196726231,10,0.649182895622214,-0.12448962897955,-0.534997757049366,325.545530907309,7.89302476606947e-78,1.02119574036671e-75
chr1:164650136-164651267,chr1,164650136,164651267,6,0.951351086357216,-0.287002469750626,-0.679449427501152,324.797183382021,1.0816685376604e-78,1.52835494627187e-76
chr19:761763-763401,chr19,761763,763401,9,0.171241779021342,0.491931951102709,-0.66589185360058,321.961030817158,1.7059412686754e-74,1.86931125649702e-72
chr22:29193293-29194794,chr22,29193293,29194794,9,0.791637548571858,0.0818634683827931,-0.886066692328808,318.563210491121,8.4232930235851e-81,1.35005271841446e-78
chr2:86076799-86078291,chr2,86076799,86078291,8,-0.848538006069273,0.251088719482358,0.61091814382611,316.999684782384,4.07149295871027e-80,6.20166342370357e-78
chr18:29266886-29269716,chr18,29266886,29269716,7,-0.436663007222927,-0.538276253539609,0.981870419607344,314.670265561362,1.1748056558969e-79,1.75217368553456e-77
chr10:128110548-128113466,chr10,128110548,128113466,4,-0.393162081187914,-0.617061027324281,1.01646377646756,314.536525891772,3.36832166302109e-79,4.92118669093225e-77
chr1:161005164-161007321,chr1,161005164,161007321,8,0.401924134288036,0.263079785053897,-0.671383667505236,314.46084483342,9.37201006366776e-78,1.19811107224638e-75
chr19:35744642-35749748,chr19,35744642,35749748,14,0.281540895298289,0.398395827847068,-0.684405626245332,314.02035064782,7.00065602404529e-80,1.05882457343958e-77
chr17:79350073-79352834,chr17,79350073,79352834,5,-0.46708839936866,-0.477440640392873,0.951943141338813,313.84452530816,2.1167598000981e-78,2.85922328469855e-76
chr4:106853979-106858066,chr4,106853979,106858066,17,0.699105513767404,0.00375626840795185,-0.713958695092298,313.372466785614,4.31085348199887e-70,3.92305933190211e-68
chr1:243663494-243664965,chr1,243663494,243664965,8,-0.175706888557092,-0.74175703827663,0.920252925064788,313.175397947483,8.23644364642658e-81,1.3300308285286e-78
chr12:121625935-121641643,chr12,121625935,121641643,18,-0.32651756414072,-0.384550646651434,0.716251029270578,312.472175028457,3.45826316051476e-79,5.01845391205239e-77
chr19:282909-287061,chr19,282909,287061,20,0.454310147049433,0.319014260057077,-0.780535679281897,312.423067171945,3.27494326176443e-79,4.81753126252841e-77
